Generation,Timestamp,AX,AY,AZ,lAX,lAY,lAZ,,Generation,Timestamp,Speed
,,,,,,,,,,,
1068,6:12:41,-0.1699935,2.169213,10.10384,7.284541,-2.024702,5.053079,,0,6:12:50,10.6920001
1069,6:12:41,1.1827718,1.3575538,11.463788,8.423945,-2.8087296,6.0726824,,,,
1070,6:12:41,1.4796618,1.7358493,9.538791,8.53467,-2.7344427,4.4441404,,1,6:12:51,10.83599997
1071,6:12:41,1.211503,1.489239,10.199611,8.173818,-3.0941212,4.6111035,,,,
1072,6:12:41,1.6520497,0.74701375,9.361614,8.099383,-4.017358,4.3001795,,2,6:12:52,10.11599979
1073,6:12:41,0.80687064,1.2498114,9.047964,7.2998033,-3.6780236,3.5282912,,,,
1074,6:12:41,1.0702409,0.8834874,9.340066,7.3991637,-4.204919,4.2015314,,3,6:12:53,9.179999828
1075,6:12:42,1.0271438,2.0542877,9.63935,7.4678,-3.292743,4.397882,,,,
1076,6:12:42,1.2857256,2.116539,8.772623,7.4445066,-2.7063541,3.6591573,,4,6:12:54,7.092000103
1077,6:12:42,1.0941836,2.0878077,10.824516,7.530308,-3.268832,5.440091,,,,
1078,6:12:42,1.3455825,2.1332989,10.017646,7.7125244,-3.1054165,5.082536,,5,6:12:55,6.047999811
1079,6:12:42,1.0151725,2.892284,9.581888,7.426337,-2.5447466,4.4390936,,,,
1080,6:12:42,0.59378016,1.3096683,9.98652,6.993575,-4.3548284,4.878028,,6,6:12:56,5.867999983
1081,6:12:42,0.6344828,1.515576,9.929058,6.869832,-4.311463,4.991126,,,,
1082,6:12:42,0.9864412,2.3631492,9.237112,7.212884,-3.4082456,4.2973557,,7,6:12:57,6.803999949
1083,6:12:42,0.5123748,2.1811843,9.833286,6.8325233,-3.6886895,4.8571424,,,,
1084,6:12:42,0.64166564,2.2434354,9.763853,6.549039,-3.676805,5.3414955,,8,6:12:58,8.207999897
1085,6:12:43,1.010384,1.5347302,9.775824,6.8423243,-4.4638386,4.8518314,,,,
1086,6:12:43,0.38068968,1.8316202,10.24989,6.120989,-4.3941746,5.370349,,9,6:12:59,8.856000137
1087,6:12:43,0.7134939,1.9920366,9.335278,6.377387,-4.363929,4.488204,,,,
1088,6:12:43,0.47885495,1.1731946,9.974549,5.936141,-5.3985324,4.8933077,,10,6:13:00,7.812000275
1089,6:12:43,0.62251145,2.013585,9.668081,5.989229,-4.683182,4.919618,,,,
1090,6:12:43,1.4054393,1.7693691,9.562734,6.419491,-4.706545,4.637802,,11,6:13:01,5.867999983
1091,6:12:43,1.1157321,1.7478206,10.099051,6.0855665,-5.151604,5.3112435,,,,
1092,6:12:43,0.8044763,1.3048798,9.727939,5.552507,-5.7515764,5.6089706,,12,6:13:02,6.443999863
1093,6:12:43,0.27055305,1.5395187,9.25866,4.8014984,-5.797237,4.8270636,,,,
1094,6:12:43,0.11971374,1.3312168,10.659311,4.5103884,-6.092497,6.520191,,13,6:13:03,7.379999828
1095,6:12:44,-0.09577099,2.205127,10.099051,4.351493,-5.5464272,5.7785454,,,,
1096,6:12:44,0.038308397,1.6759924,10.07032,4.1820316,-6.314102,6.021413,,14,6:13:04,6.552000189
1097,6:12:44,0.08619389,2.0806248,8.854029,3.8916233,-5.8727474,4.842477,,,,
1098,6:12:44,-0.22266756,2.142876,10.108628,3.5269732,-5.85902,5.807209,,15,6:13:05,2.08799994
1099,6:12:44,-1.0582695,2.6767993,10.537204,2.6010985,-5.50126,6.5867186,,,,
1100,6:12:44,-0.29210153,2.1452703,10.247497,2.9614692,-5.837344,6.125243,,16,6:13:06,3.492000103
1101,6:12:44,0.2777359,1.489239,9.771035,3.1683474,-6.8516884,5.4915247,,,,
1102,6:12:44,0.117319465,2.1309047,10.144543,2.8975787,-6.5808434,5.8687105,,17,6:13:07,4.860000086
1103,6:12:44,0.31125572,2.7677817,9.696813,2.621141,-5.8118196,5.793596,,,,
1104,6:12:44,0.49082634,1.8459859,9.3831625,2.556571,-6.666133,5.498952,,18,6:13:08,6.732000017
1105,6:12:45,0.062251143,2.9760835,9.3831625,1.9696007,-5.927388,5.566279,,,,
1106,6:12:45,0.16520496,1.9896424,10.805362,1.9953331,-6.794089,7.084758,,19,6:13:09,7.668000412
1107,6:12:45,0.21787901,2.0686533,9.253872,1.6494148,-6.8007746,5.950698,,,,
1108,6:12:45,0.3519584,2.3535721,10.522838,1.6673081,-6.6756654,6.8469024,,20,6:13:10,8.820000172
1109,6:12:45,0.14844504,3.354379,9.170073,1.54754,-6.0195184,5.843784,,,,
1110,6:12:45,0.016759925,2.7390504,9.047964,1.1998165,-6.3716702,5.807782,,21,6:13:11,10.54800024
1111,6:12:45,-0.2657645,2.971295,10.549175,0.74797565,-6.2091613,7.353175,,,,
1112,6:12:45,-0.34956414,3.8475995,9.438231,0.60557145,-5.2375245,6.364916,,22,6:13:12,12.09599962
1113,6:12:45,0.5411061,4.0199876,8.729526,1.072964,-5.4620914,5.603976,,,,
1114,6:12:45,1.1468576,3.1867797,10.446221,1.364566,-5.8239822,6.917245,,23,6:13:13,12.52800007
1115,6:12:46,0.339987,3.7159145,9.711179,0.5017613,-5.283924,6.2710037,,,,
1116,6:12:46,0.33519846,3.4381785,8.365596,0.36203688,-5.930002,5.1563277,,24,6:13:14,14.47199993
1117,6:12:46,0.2561874,3.380716,9.462174,-0.035277035,-5.741164,6.24129,,,,
1118,6:12:46,0.023942748,3.3352249,9.818921,-0.3781952,-5.651239,6.1063504,,25,6:13:15,17.17199993
1119,6:12:46,0.7877164,2.597788,9.852441,0.11722982,-6.353724,5.9475226,,,,
1120,6:12:46,0.6943397,3.371139,9.842864,-0.11932816,-5.480785,6.1110473,,26,6:13:16,20.7
1121,6:12:46,1.1803775,3.7422516,8.346442,0.24479027,-5.4613004,4.7403975,,,,
1122,6:12:46,0.8571504,3.8045027,10.216371,0.12751465,-5.1702085,6.313014,,27,6:13:17,20.55600014
1123,6:12:46,1.0271438,2.928198,9.624985,0.0502221,-5.787238,5.6608887,,,,
1124,6:12:46,0.46927786,2.9641123,10.410307,-0.38960657,-5.9750695,6.3173018,,28,6:13:18,18.64799938
1125,6:12:47,0.65842557,3.634509,9.043176,-0.33408928,-5.3034945,5.2932005,,,,
1126,6:12:47,0.016759925,3.15326,10.415095,-0.91109574,-5.637891,6.5399446,,29,6:13:19,16.2
1127,6:12:47,0.17957062,3.3232534,9.368797,-0.59017146,-5.6334352,5.3679867,,,,
1128,6:12:47,-0.07901107,3.1245286,10.439038,-0.55297744,-6.0128813,6.8327584,,30,6:13:20,12.02399969
1129,6:12:47,0.102953814,3.7638,8.755863,-0.563506,-5.2879686,5.1532273,,,,
1130,6:12:47,-0.06464542,2.9736893,9.8787775,-0.6736259,-6.182643,6.1231217,,31,6:13:21,5.903999949
1131,6:12:47,-0.06943397,2.7773588,9.787795,-0.71456647,-6.226188,5.959304,,,,
1132,6:12:47,0.3519584,1.7190893,10.695226,-0.41714758,-7.1008863,6.6580834,,32,6:13:22,8.279999828
1133,6:12:47,-0.13168511,1.9537282,9.498088,-0.8387526,-7.258811,6.042792,,,,
1134,6:12:47,0.24182175,2.3727264,8.341654,-0.7575581,-6.92622,5.3042474,,33,6:13:23,13.85999966
1135,6:12:48,0.4956149,2.2506182,10.56354,-0.25930196,-6.9598184,7.2161627,,,,
1136,6:12:48,0.86193895,1.6999351,10.099051,-0.008798641,-7.2552834,6.1707935,,34,6:13:24,13.17600031
1137,6:12:48,0.65842557,1.376708,8.844451,-0.31993493,-7.812926,5.752396,,,,
1138,6:12:48,0.076616794,2.073442,9.545974,-0.7802011,-7.11194,5.9759297,,35,6:13:25,11.73599997
1139,6:12:48,-0.3423813,1.673598,9.883567,-0.99100906,-7.3707647,5.905611,,,,
1140,6:12:48,-0.23463893,1.1396748,10.553964,-0.956453,-7.7382345,6.194448,,36,6:13:26,9.756000137
1141,6:12:48,0.49082634,1.0654523,9.967366,-0.29684395,-7.980033,6.7445817,,,,
1142,6:12:48,-0.1987248,2.142876,9.225141,-0.8703408,-7.102536,6.0414195,,37,6:13:27,10.33199959
1143,6:12:48,0.062251143,1.5131817,10.685649,-0.701233,-7.3784356,6.3874025,,,,
1144,6:12:48,0.22506183,1.3527653,9.897932,-0.5813879,-7.8689537,7.3048105,,38,6:13:28,12.16800041
1145,6:12:49,-0.2083019,1.7095122,9.325701,-0.6923171,-7.4262276,5.763096,,,,
1146,6:12:49,-0.47885495,1.7789462,9.909904,-1.0146968,-7.3294954,6.425532,,39,6:13:29,12.99599962
1147,6:12:49,0.1987248,1.8052832,11.059155,-0.22907118,-7.24367,7.6480346,,,,
1148,6:12:49,0.44294083,1.5299416,9.253872,-0.07348655,-7.664674,5.60204,,40,6:13:30,10.76400003
