AccelerometerX,AccelerometerY,AccelerometerZ,GyroX,GyroY,GyroZ,AccToGX,AccToGY,AccToGZ,GyroToDegPerSecondX,GyroToDegPerSecondY,GyroToDegPerSecondZ,TimeStamp
-7615,-24,-4101,-414,325,87,-0.9295654296875,-0.0029296875,-0.5006103515625,-12.621951219512196,9.908536585365855,2.6524390243902443,1565282308013
-7883,560,-4014,-1415,-58,374,-0.9622802734375,0.068359375,-0.489990234375,-43.140243902439025,-1.7682926829268295,11.402439024390246,1565282308017
-7859,569,-3981,-1516,126,365,-0.9593505859375,0.0694580078125,-0.4859619140625,-46.21951219512196,3.8414634146341466,11.128048780487806,1565282308021
-8025,572,-3970,-1697,-310,305,-0.9796142578125,0.06982421875,-0.484619140625,-51.737804878048784,-9.451219512195122,9.298780487804878,1565282308026
-7974,570,-4210,-1782,-144,256,-0.973388671875,0.069580078125,-0.513916015625,-54.32926829268293,-4.390243902439025,7.8048780487804885,1565282308032
-7664,565,-4193,-2120,-224,-58,-0.935546875,0.0689697265625,-0.5118408203125,-64.63414634146342,-6.829268292682928,-1.7682926829268295,1565282308118
-7317,542,-3822,-2634,-474,-350,-0.8931884765625,0.066162109375,-0.466552734375,-80.3048780487805,-14.451219512195124,-10.670731707317074,1565282308122
-7519,536,-3802,-2684,-468,-371,-0.9178466796875,0.0654296875,-0.464111328125,-81.82926829268294,-14.26829268292683,-11.310975609756099,1565282308127
-7473,532,-3784,-2477,-449,-143,-0.9122314453125,0.06494140625,-0.4619140625,-75.51829268292684,-13.689024390243903,-4.359756097560976,1565282308132
-7436,530,-3759,-2525,-416,-176,-0.90771484375,0.064697265625,-0.4588623046875,-76.98170731707317,-12.682926829268293,-5.365853658536586,1565282308136
-7158,540,-3747,-2874,-581,-243,-0.873779296875,0.06591796875,-0.4573974609375,-87.6219512195122,-17.713414634146343,-7.408536585365854,1565282308223
-7821,441,-4110,-3335,-3,-323,-0.9547119140625,0.0538330078125,-0.501708984375,-101.67682926829269,-0.09146341463414635,-9.847560975609756,1565282308226
-7935,409,-4104,-3317,264,19,-0.9686279296875,0.0499267578125,-0.5009765625,-101.12804878048782,8.048780487804878,0.5792682926829269,1565282308232
-8241,631,-3839,-3681,-23,100,-1.0059814453125,0.0770263671875,-0.4686279296875,-112.22560975609757,-0.701219512195122,3.048780487804878,1565282308237
-8252,588,-3826,-3532,-62,-111,-1.00732421875,0.07177734375,-0.467041015625,-107.6829268292683,-1.8902439024390245,-3.3841463414634148,1565282308242
-8243,230,-3759,-3887,-120,105,-1.0062255859375,0.028076171875,-0.4588623046875,-118.50609756097562,-3.658536585365854,3.2012195121951224,1565282308328
-7657,344,-3536,-3789,-369,-819,-0.9346923828125,0.0419921875,-0.431640625,-115.51829268292684,-11.250000000000002,-24.969512195121954,1565282308333
-8009,320,-3222,-3749,-145,-850,-0.9776611328125,0.0390625,-0.393310546875,-114.29878048780489,-4.420731707317073,-25.914634146341466,1565282308337
-7998,311,-3431,-3733,-201,-819,-0.976318359375,0.0379638671875,-0.4188232421875,-113.81097560975611,-6.128048780487806,-24.969512195121954,1565282308345
-7968,293,-3389,-3729,-248,-798,-0.97265625,0.0357666015625,-0.4136962890625,-113.68902439024392,-7.560975609756098,-24.32926829268293,1565282308350
-7642,-16,-3036,-3740,-548,-779,-0.932861328125,-0.001953125,-0.37060546875,-114.02439024390245,-16.70731707317073,-23.750000000000004,1565282308433
-7563,79,-2724,-3563,-551,-508,-0.9232177734375,0.0096435546875,-0.33251953125,-108.62804878048782,-16.79878048780488,-15.487804878048783,1565282308438
-7621,122,-2930,-3517,-528,-491,-0.9302978515625,0.014892578125,-0.357666015625,-107.22560975609757,-16.097560975609756,-14.969512195121952,1565282308445
-7655,-104,-2916,-3697,-221,-407,-0.9344482421875,-0.0126953125,-0.35595703125,-112.71341463414635,-6.737804878048781,-12.408536585365855,1565282308451
-7941,-69,-2907,-3670,-207,-594,-0.9693603515625,-0.0084228515625,-0.3548583984375,-111.89024390243904,-6.310975609756098,-18.10975609756098,1565282308456
-7954,-31,-2910,-3652,-197,-517,-0.970947265625,-0.0037841796875,-0.355224609375,-111.34146341463416,-6.00609756097561,-15.76219512195122,1565282308538
-7979,318,-2847,-3471,24,-328,-0.9739990234375,0.038818359375,-0.3475341796875,-105.82317073170732,0.7317073170731708,-10.0,1565282308543
-7992,332,-2826,-3470,45,-347,-0.9755859375,0.04052734375,-0.344970703125,-105.79268292682927,1.3719512195121952,-10.579268292682928,1565282308549
-8033,360,-2542,-3711,65,-376,-0.9805908203125,0.0439453125,-0.310302734375,-113.14024390243904,1.981707317073171,-11.463414634146343,1565282308553
-8048,371,-2537,-3703,60,-381,-0.982421875,0.0452880859375,-0.3096923828125,-112.89634146341464,1.829268292682927,-11.615853658536587,1565282308557
-8057,379,-2536,-3693,52,-384,-0.9835205078125,0.0462646484375,-0.3095703125,-112.59146341463416,1.5853658536585367,-11.707317073170733,1565282308643
-7844,136,-2537,-3316,-282,-339,-0.95751953125,0.0166015625,-0.3096923828125,-101.09756097560977,-8.597560975609756,-10.335365853658537,1565282308647
-7831,146,-2545,-3287,-295,-323,-0.9559326171875,0.017822265625,-0.3106689453125,-100.21341463414635,-8.99390243902439,-9.847560975609756,1565282308652
-7812,154,-2540,-3255,-303,-315,-0.95361328125,0.018798828125,-0.31005859375,-99.23780487804879,-9.237804878048781,-9.603658536585368,1565282308656
-8062,158,-2531,-3224,-295,-338,-0.984130859375,0.019287109375,-0.3089599609375,-98.29268292682927,-8.99390243902439,-10.30487804878049,1565282308661
-7829,153,-2526,-3410,3,-357,-0.9556884765625,0.0186767578125,-0.308349609375,-103.96341463414635,0.09146341463414635,-10.884146341463415,1565282308748
-8293,157,-2680,-2907,25,-373,-1.0123291015625,0.0191650390625,-0.3271484375,-88.62804878048782,0.7621951219512195,-11.371951219512196,1565282308752
-8293,166,-2665,-2520,-268,-383,-1.0123291015625,0.020263671875,-0.3253173828125,-76.82926829268294,-8.170731707317074,-11.676829268292684,1565282308757
-8292,182,-2645,-2459,-284,-144,-1.01220703125,0.022216796875,-0.3228759765625,-74.96951219512196,-8.658536585365855,-4.390243902439025,1565282308761
-8288,200,-2621,-2657,-303,-166,-1.01171875,0.0244140625,-0.3199462890625,-81.00609756097562,-9.237804878048781,-5.060975609756098,1565282308766
-8264,512,-2590,-2601,-330,-210,-1.0087890625,0.0625,-0.316162109375,-79.29878048780489,-10.060975609756099,-6.402439024390245,1565282308853
-8198,412,-2231,-2420,-182,-550,-1.000732421875,0.05029296875,-0.2723388671875,-73.78048780487805,-5.548780487804878,-16.76829268292683,1565282308873
-7918,413,-2231,-2426,-189,-562,-0.966552734375,0.0504150390625,-0.2723388671875,-73.96341463414635,-5.76219512195122,-17.134146341463417,1565282308887
-7899,397,-2211,-2180,-186,-578,-0.9642333984375,0.0484619140625,-0.2698974609375,-66.46341463414635,-5.670731707317073,-17.621951219512198,1565282308892
-7879,384,-2202,-2199,-157,-627,-0.9617919921875,0.046875,-0.268798828125,-67.04268292682927,-4.786585365853659,-19.115853658536587,1565282308900
-7873,624,-2188,-2201,-141,-396,-0.9610595703125,0.076171875,-0.26708984375,-67.10365853658537,-4.298780487804878,-12.073170731707318,1565282308958
-7900,239,-2345,-2353,-307,-815,-0.96435546875,0.0291748046875,-0.2862548828125,-71.73780487804879,-9.359756097560977,-24.84756097560976,1565282308962
-7901,220,-2333,-2328,-303,-835,-0.9644775390625,0.02685546875,-0.2847900390625,-70.97560975609757,-9.237804878048781,-25.457317073170735,1565282308966
-7901,205,-2315,-2044,-306,-851,-0.9644775390625,0.0250244140625,-0.2825927734375,-62.31707317073171,-9.329268292682928,-25.945121951219516,1565282308971
-7871,177,-2306,-1978,-326,-881,-0.9608154296875,0.0216064453125,-0.281494140625,-60.304878048780495,-9.939024390243903,-26.85975609756098,1565282308976
-7847,168,-2043,-1945,-334,-651,-0.9578857421875,0.0205078125,-0.2493896484375,-59.29878048780488,-10.182926829268293,-19.847560975609756,1565282309063
-8003,293,-1939,-1696,-259,-1098,-0.9769287109375,0.0357666015625,-0.2366943359375,-51.707317073170735,-7.896341463414635,-33.47560975609756,1565282309067
-8022,284,-1921,-1919,13,-1102,-0.979248046875,0.03466796875,-0.2344970703125,-58.50609756097561,0.39634146341463417,-33.59756097560976,1565282309074
-8043,278,-2163,-1886,23,-1096,-0.9818115234375,0.033935546875,-0.2640380859375,-57.50000000000001,0.701219512195122,-33.41463414634146,1565282309080
-8055,291,-2145,-1854,23,-1054,-0.9832763671875,0.0355224609375,-0.2618408203125,-56.524390243902445,0.701219512195122,-32.13414634146342,1565282309092
-8054,305,-2142,-1807,28,-1028,-0.983154296875,0.0372314453125,-0.261474609375,-55.09146341463415,0.853658536585366,-31.34146341463415,1565282309168
-7892,338,-2076,-1857,-86,-880,-0.96337890625,0.041259765625,-0.25341796875,-56.615853658536594,-2.6219512195121952,-26.82926829268293,1565282309171
-7889,336,-2061,-1875,-58,-873,-0.9630126953125,0.041015625,-0.2515869140625,-57.16463414634147,-1.7682926829268295,-26.615853658536587,1565282309176
-7872,334,-2071,-1909,-14,-873,-0.9609375,0.040771484375,-0.2528076171875,-58.201219512195124,-0.426829268292683,-26.615853658536587,1565282309180
-7860,328,-2076,-1680,283,-886,-0.95947265625,0.0400390625,-0.25341796875,-51.21951219512196,8.628048780487806,-27.012195121951223,1565282309185
-7870,319,-2073,-1718,342,-656,-0.960693359375,0.0389404296875,-0.2530517578125,-52.37804878048781,10.426829268292684,-20.0,1565282309274
-7960,-20,-2122,-2020,414,-1150,-0.9716796875,-0.00244140625,-0.259033203125,-61.585365853658544,12.621951219512196,-35.0609756097561,1565282309279
-7670,-27,-2164,-2309,447,-923,-0.936279296875,-0.0032958984375,-0.26416015625,-70.39634146341464,13.628048780487806,-28.14024390243903,1565282309286
-7662,-57,-1927,-2409,821,-1013,-0.935302734375,-0.0069580078125,-0.2352294921875,-73.44512195121952,25.03048780487805,-30.884146341463417,1565282309294
-7955,-76,-1943,-2207,643,-1306,-0.9710693359375,-0.00927734375,-0.2371826171875,-67.28658536585367,19.603658536585368,-39.81707317073171,1565282309311
-8018,-104,-1959,-2265,720,-1329,-0.978759765625,-0.0126953125,-0.2391357421875,-69.0548780487805,21.951219512195124,-40.518292682926834,1565282309378
-8224,65,-2022,-2530,1050,-1050,-1.00390625,0.0079345703125,-0.246826171875,-77.13414634146342,32.01219512195122,-32.01219512195122,1565282309384
-7909,103,-2319,-2526,752,-724,-0.9654541015625,0.0125732421875,-0.2830810546875,-77.01219512195122,22.926829268292686,-22.073170731707318,1565282309389
-7824,-101,-2371,-2526,719,-664,-0.955078125,-0.0123291015625,-0.2894287109375,-77.01219512195122,21.920731707317074,-20.243902439024392,1565282309393
-7943,-5,-2232,-2538,753,-862,-0.9696044921875,-6.103515625E-4,-0.2724609375,-77.37804878048782,22.957317073170735,-26.28048780487805,1565282309397
-7666,290,-2285,-2865,1064,-850,-0.935791015625,0.035400390625,-0.2789306640625,-87.34756097560977,32.43902439024391,-25.914634146341466,1565282309483
-7783,321,-2944,-2945,1301,-827,-0.9500732421875,0.0391845703125,-0.359375,-89.78658536585367,39.66463414634147,-25.213414634146343,1565282309491
-7790,287,-2741,-2990,1166,-689,-0.950927734375,0.0350341796875,-0.3345947265625,-91.15853658536587,35.54878048780488,-21.00609756097561,1565282309499
-7566,282,-2795,-2992,1221,-742,-0.923583984375,0.034423828125,-0.3411865234375,-91.21951219512196,37.22560975609756,-22.621951219512198,1565282309510
-7582,283,-3121,-2991,1255,-1039,-0.925537109375,0.0345458984375,-0.3809814453125,-91.18902439024392,38.26219512195122,-31.676829268292686,1565282309518
-7789,265,-3021,-3017,1565,-1131,-0.9508056640625,0.0323486328125,-0.3687744140625,-91.98170731707317,47.713414634146346,-34.48170731707317,1565282309589
-7530,-105,-3843,-2949,1693,-1616,-0.919189453125,-0.0128173828125,-0.4691162109375,-89.90853658536587,51.61585365853659,-49.268292682926834,1565282309597
-7482,-57,-3915,-3141,1770,-1662,-0.913330078125,-0.0069580078125,-0.4779052734375,-95.76219512195122,53.963414634146346,-50.670731707317074,1565282309605
-7480,-37,-3722,-3120,2069,-1662,-0.9130859375,-0.0045166015625,-0.454345703125,-95.1219512195122,63.07926829268293,-50.670731707317074,1565282309611
-7474,-19,-3779,-3110,2105,-1649,-0.912353515625,-0.0023193359375,-0.4613037109375,-94.81707317073172,64.17682926829269,-50.274390243902445,1565282309620
-7471,-4,-3909,-3110,2132,-1624,-0.9119873046875,-4.8828125E-4,-0.4771728515625,-94.81707317073172,65.0,-49.51219512195122,1565282309693
-7492,-2,-4712,-2979,2095,-1593,-0.91455078125,-2.44140625E-4,-0.5751953125,-90.82317073170732,63.8719512195122,-48.56707317073171,1565282309700
-7489,-9,-4535,-3006,2061,-1606,-0.9141845703125,-0.0010986328125,-0.5535888671875,-91.64634146341464,62.835365853658544,-48.963414634146346,1565282309708
-7493,-58,-4953,-3039,1746,-1646,-0.9146728515625,-0.007080078125,-0.6046142578125,-92.65243902439025,53.23170731707317,-50.1829268292683,1565282309716
-7505,-85,-4786,-3360,1726,-1413,-0.9161376953125,-0.0103759765625,-0.584228515625,-102.43902439024392,52.6219512195122,-43.07926829268293,1565282309726
-7539,-112,-5130,-3385,1716,-1438,-0.9202880859375,-0.013671875,-0.626220703125,-103.20121951219514,52.31707317073171,-43.84146341463415,1565282309798
-7787,-353,-5675,-3300,1235,-1817,-0.9505615234375,-0.0430908203125,-0.6927490234375,-100.60975609756099,37.65243902439025,-55.396341463414636,1565282309801
-7565,-375,-5719,-3306,1166,-1810,-0.9234619140625,-0.0457763671875,-0.6981201171875,-100.79268292682927,35.54878048780488,-55.1829268292683,1565282309806
-7591,-158,-5518,-3305,973,-1525,-0.9266357421875,-0.019287109375,-0.673583984375,-100.76219512195122,29.664634146341466,-46.493902439024396,1565282309818
-7571,-161,-5531,-3296,1113,-1510,-0.9241943359375,-0.0196533203125,-0.6751708984375,-100.48780487804879,33.9329268292683,-46.03658536585366,1565282309825
-7787,-169,-5543,-3284,739,-1505,-0.9505615234375,-0.0206298828125,-0.6766357421875,-100.1219512195122,22.53048780487805,-45.88414634146342,1565282309903
-7506,-239,-5674,-3334,-4,-1851,-0.916259765625,-0.0291748046875,-0.692626953125,-101.64634146341464,-0.12195121951219513,-56.4329268292683,1565282309908
-7485,-246,-5657,-3032,-85,-1882,-0.9136962890625,-0.030029296875,-0.6905517578125,-92.43902439024392,-2.5914634146341466,-57.37804878048781,1565282309912
-7460,-527,-5364,-2987,98,-1698,-0.91064453125,-0.0643310546875,-0.65478515625,-91.06707317073172,2.987804878048781,-51.768292682926834,1565282309919
-7451,-553,-5337,-3175,-297,-1725,-0.9095458984375,-0.0675048828125,-0.6514892578125,-96.79878048780489,-9.05487804878049,-52.59146341463415,1565282309924
-7433,-585,-5305,-3151,-368,-1744,-0.9073486328125,-0.0714111328125,-0.6475830078125,-96.06707317073172,-11.219512195121952,-53.17073170731708,1565282310008
-6818,-805,-5438,-2732,-488,-1933,-0.832275390625,-0.0982666015625,-0.663818359375,-83.29268292682927,-14.878048780487806,-58.9329268292683,1565282310011
-6806,-819,-5422,-2728,-480,-2001,-0.830810546875,-0.0999755859375,-0.661865234375,-83.17073170731707,-14.634146341463415,-61.00609756097562,1565282310016
-6791,-827,-5403,-2731,-485,-2011,-0.8289794921875,-0.1009521484375,-0.6595458984375,-83.26219512195122,-14.786585365853659,-61.310975609756106,1565282310022
-7022,-831,-5395,-2729,-499,-2003,-0.857177734375,-0.1014404296875,-0.6585693359375,-83.20121951219512,-15.213414634146343,-61.06707317073171,1565282310027
-6990,-827,-5390,-2728,-773,-1984,-0.853271484375,-0.1009521484375,-0.657958984375,-83.17073170731707,-23.56707317073171,-60.487804878048784,1565282310113
-6941,-173,-5336,-2759,-456,-1893,-0.8472900390625,-0.0211181640625,-0.6513671875,-84.1158536585366,-13.902439024390246,-57.713414634146346,1565282310116
-6817,-321,-5661,-2794,-475,-1483,-0.8321533203125,-0.0391845703125,-0.6910400390625,-85.1829268292683,-14.481707317073171,-45.213414634146346,1565282310121
-6878,-273,-5706,-2796,-511,-1639,-0.839599609375,-0.0333251953125,-0.696533203125,-85.2439024390244,-15.579268292682928,-49.96951219512196,1565282310125
-7190,39,-5536,-2787,-811,-1277,-0.877685546875,0.0047607421875,-0.67578125,-84.96951219512196,-24.725609756097562,-38.9329268292683,1565282310129
-7065,-104,-5575,-2767,-653,-1338,-0.8624267578125,-0.0126953125,-0.6805419921875,-84.35975609756099,-19.908536585365855,-40.79268292682927,1565282310218
-7643,6,-5792,-3089,-1180,-1062,-0.9329833984375,7.32421875E-4,-0.70703125,-94.17682926829269,-35.97560975609756,-32.37804878048781,1565282310221
-8043,-136,-5818,-3136,-1272,-1299,-0.9818115234375,-0.0166015625,-0.710205078125,-95.60975609756099,-38.78048780487805,-39.60365853658537,1565282310226
-8260,-583,-5845,-3183,-1257,-1229,-1.00830078125,-0.0711669921875,-0.7135009765625,-97.04268292682927,-38.32317073170732,-37.46951219512196,1565282310230
-8556,-811,-5800,-3009,-1219,-1429,-1.04443359375,-0.0989990234375,-0.7080078125,-91.73780487804879,-37.16463414634147,-43.56707317073171,1565282310234
-8594,-995,-5710,-3345,-1253,-1860,-1.049072265625,-0.1214599609375,-0.697021484375,-101.98170731707317,-38.201219512195124,-56.707317073170735,1565282310323
-7729,-1577,-4888,-2336,-3045,-2813,-0.9434814453125,-0.1925048828125,-0.5966796875,-71.21951219512195,-92.83536585365854,-85.76219512195122,1565282310329
-7689,-1612,-4537,-1963,-3343,-3103,-0.9385986328125,-0.19677734375,-0.5538330078125,-59.84756097560976,-101.92073170731709,-94.60365853658537,1565282310338
-7325,-1644,-4374,-1754,-3250,-3111,-0.8941650390625,-0.20068359375,-0.533935546875,-53.47560975609757,-99.08536585365854,-94.84756097560977,1565282310351
-7523,-1654,-4221,-1682,-3592,-3091,-0.9183349609375,-0.201904296875,-0.5152587890625,-51.28048780487806,-109.51219512195122,-94.23780487804879,1565282310358
-7468,-1409,-3808,-1882,-3658,-2777,-0.91162109375,-0.1719970703125,-0.46484375,-57.37804878048781,-111.52439024390245,-84.66463414634147,1565282310428
-7428,-1744,-2928,-1269,-3702,-2115,-0.90673828125,-0.212890625,-0.357421875,-38.68902439024391,-112.8658536585366,-64.48170731707317,1565282310431
-7486,-1758,-2541,-1205,-3664,-1759,-0.913818359375,-0.214599609375,-0.3101806640625,-36.737804878048784,-111.70731707317074,-53.62804878048781,1565282310436
-7551,-1767,-2657,-1408,-3630,-1899,-0.9217529296875,-0.2156982421875,-0.3243408203125,-42.926829268292686,-110.67073170731709,-57.896341463414636,1565282310441
-7373,-1741,-2370,-1310,-3595,-1611,-0.9000244140625,-0.2125244140625,-0.289306640625,-39.93902439024391,-109.60365853658537,-49.11585365853659,1565282310446
-7386,-1702,-1985,-1006,-3590,-1199,-0.901611328125,-0.207763671875,-0.2423095703125,-30.670731707317074,-109.45121951219514,-36.55487804878049,1565282310534
-7639,-1186,-1169,-1346,-2786,-21,-0.9324951171875,-0.144775390625,-0.1427001953125,-41.03658536585366,-84.93902439024392,-0.6402439024390244,1565282310538
-7631,-1159,-1376,-1399,-2703,143,-0.9315185546875,-0.1414794921875,-0.16796875,-42.65243902439025,-82.40853658536587,4.359756097560976,1565282310544
-7615,-1396,-1322,-1192,-2866,546,-0.9295654296875,-0.17041015625,-0.161376953125,-36.34146341463415,-87.37804878048782,16.646341463414636,1565282310550
-7571,-1383,-1297,-1277,-2640,785,-0.9241943359375,-0.1688232421875,-0.1583251953125,-38.9329268292683,-80.48780487804879,23.932926829268293,1565282310556
-7795,-1383,-1021,-1563,-2260,874,-0.9515380859375,-0.1688232421875,-0.1246337890625,-47.65243902439025,-68.90243902439025,26.646341463414636,1565282310638
-7401,-1217,-1023,-1201,-1260,711,-0.9034423828125,-0.1485595703125,-0.1248779296875,-36.61585365853659,-38.41463414634147,21.676829268292686,1565282310641
-7417,-1233,-1281,-1366,-992,893,-0.9053955078125,-0.1505126953125,-0.1563720703125,-41.646341463414636,-30.243902439024392,27.225609756097562,1565282310646
-7699,-1252,-1020,-1312,-1127,860,-0.9398193359375,-0.15283203125,-0.12451171875,-40.0,-34.359756097560975,26.219512195121954,1565282310650
-7733,-1270,-1012,-1000,-756,826,-0.9439697265625,-0.155029296875,-0.12353515625,-30.487804878048784,-23.04878048780488,25.182926829268293,1565282310656
-7560,-1578,-971,-941,-653,796,-0.9228515625,-0.192626953125,-0.1185302734375,-28.689024390243905,-19.908536585365855,24.26829268292683,1565282310744
-7748,-1480,-1100,-147,-387,810,-0.94580078125,-0.1806640625,-0.13427734375,-4.481707317073171,-11.79878048780488,24.695121951219516,1565282310755
-7721,-1493,-1072,-288,-608,799,-0.9425048828125,-0.1822509765625,-0.130859375,-8.78048780487805,-18.53658536585366,24.35975609756098,1565282310765
-7712,-1484,-1062,-55,-547,785,-0.94140625,-0.18115234375,-0.129638671875,-1.676829268292683,-16.676829268292686,23.932926829268293,1565282310776
-7702,-1468,-1062,319,-515,781,-0.940185546875,-0.17919921875,-0.129638671875,9.725609756097562,-15.701219512195124,23.8109756097561,1565282310793
-7691,-1421,-1076,282,-183,787,-0.9388427734375,-0.1734619140625,-0.13134765625,8.597560975609756,-5.579268292682928,23.993902439024392,1565282310848
-7706,-1615,-765,1079,80,756,-0.940673828125,-0.1971435546875,-0.0933837890625,32.896341463414636,2.439024390243903,23.04878048780488,1565282310852
-7704,-1619,-755,961,-95,1064,-0.9404296875,-0.1976318359375,-0.0921630859375,29.29878048780488,-2.8963414634146343,32.43902439024391,1565282310858
-7696,-1618,-744,1288,-60,1088,-0.939453125,-0.197509765625,-0.0908203125,39.268292682926834,-1.829268292682927,33.170731707317074,1565282310862
-7664,-1594,-731,1362,-28,1113,-0.935546875,-0.194580078125,-0.0892333984375,41.524390243902445,-0.853658536585366,33.9329268292683,1565282310866
-7402,-1571,-723,1257,312,1135,-0.903564453125,-0.1917724609375,-0.0882568359375,38.32317073170732,9.51219512195122,34.60365853658537,1565282310953
-7718,-1121,-714,2051,610,1280,-0.942138671875,-0.1368408203125,-0.087158203125,62.53048780487806,18.597560975609756,39.024390243902445,1565282310957
-7719,-1042,-712,2122,620,1311,-0.9422607421875,-0.127197265625,-0.0869140625,64.69512195121952,18.902439024390244,39.96951219512196,1565282310961
-7719,-702,-721,1940,624,1332,-0.9422607421875,-0.085693359375,-0.0880126953125,59.146341463414636,19.02439024390244,40.60975609756098,1565282310965
